time[s](1)          x[mm](2)            T[K](3)             P[Pa](4)            eps[-](5)           rhoS[kg/m3](6)      Sv[1/m](7)          rp[micron](8)       K[m2](9)            TauBulk[-](10)      TauKnudsen[-](11)   TauViscous[-](12)   rhoG[kg/m3](13)     mwG[kg/kmol](14)    sumOmega[-](15)     C_x(16)             H_x(17)             AR_x(18)            N_x(19)             CH4_x(20)           CH3_x(21)           H2_x(22)            H_x(23)             C2H3_x(24)          C2H2_x(25)          C2H4_x(26)          C2H5_x(27)          C2H6_x(28)          C4H4_x(29)          C3H4_x(30)          C4H3_x(31)          C2H_x(32)           C6H6_x(33)          C3H3_x(34)          AR_x(35)            N2_x(36)            CH4_w(37)           CH3_w(38)           H2_w(39)            H_w(40)             C2H3_w(41)          C2H2_w(42)          C2H4_w(43)          C2H5_w(44)          C2H6_w(45)          C4H4_w(46)          C3H4_w(47)          C4H3_w(48)          C2H_w(49)           C6H6_w(50)          C3H3_w(51)          AR_w(52)            N2_w(53)            
180000              11.0526316          1368                30000               0.77499823          483.754147          112501.046          13.7776154          8.65223566e-011     1.18522168          1.86323044          0.212534976         0.0422355248        16.0131546          1.00184476          1.00100992          3.98766369          0                   0                   0.988399052         9.67023323e-005     0.00527885028       3.68044824e-008     3.10393178e-008     0.0019742069        0.00310722637       9.55699995e-008     0.001122628         1.40478901e-006     1.89215276e-007     4.01887482e-012     7.59923434e-012     1.36249314e-005     5.95175393e-006     0                   0                   0.990241222         9.0795323e-005      0.000664588747      2.31677766e-009     5.24249839e-008     0.00321013563       0.00544365737       1.73448352e-007     0.00210810577       4.56848092e-006     4.73417641e-007     1.2816706e-011      1.18782861e-011     6.64639728e-005     1.4516668e-005      0                   0                   
180000              12.1578947          1368                30000               0.774998395         483.753762          112500.949          13.7776305          8.65227364e-011     1.18522149          1.86323001          0.212534557         0.0422398083        16.0147786          1.00168978          1.00087205          3.98845841          0                   0                   0.989014435         9.62255685e-005     0.00503726106       3.53011782e-008     2.90051185e-008     0.00180381595       0.00292004841       9.40441735e-008     0.0011088682        1.19852458e-006     1.6816201e-007      3.38656187e-012     7.00828458e-012     1.2306342e-005      5.51469473e-006     0                   0                   0.99075727          9.033852e-005       0.0006341092        2.22192196e-009     4.89842812e-008     0.00293277601       0.00511521504       1.70661848e-007     0.00208205603       3.89729798e-006     4.2069959e-007      1.07990839e-011     1.09534676e-011     6.0025655e-005      1.34492916e-005     0                   0                   
180000              13.2631579          1368                30000               0.774998572         483.753346          112500.844          13.7776468          8.65231461e-011     1.1852213           1.86322955          0.212534106         0.0422444341        16.0165324          1.00151978          1.00071933          3.98931976          0                   0                   0.989689744         9.56437472e-005     0.00477300282       3.36471892e-008     2.67578736e-008     0.00161986553       0.00271232887       9.22267297e-008     0.00109219052       9.95185819e-007     1.45955963e-007     2.76212313e-012     6.36490252e-012     1.09092276e-005     5.02165954e-006     0                   0                   0.991325205         8.97824619e-005     0.000600777595      2.1175849e-009      4.51841518e-008     0.00263340757       0.00475082062       1.67345409e-007     0.00205051677       3.23573755e-006     3.65105589e-007     8.80690631e-012     9.94681632e-012     5.32052359e-005     1.22455315e-005     0                   0                   
180000              14.3684211          1368                30000               0.774998761         483.752904          112500.732          13.7776641          8.65235826e-011     1.18522109          1.86322905          0.212533625         0.0422493675        16.0184029          1.00133509          1.00055144          3.99024373          0                   0                   0.990424437         9.49357233e-005     0.00448655113       3.18439284e-008     2.42995972e-008     0.00142337          0.00248366087       9.00722593e-008     0.0010720579        8.00075105e-007     1.22982225e-007     2.16233334e-012     5.67033441e-012     9.4469938e-006      4.47073386e-006     0                   0                   0.991945272         8.91074213e-005     0.000564655995      2.00386272e-009     4.10282409e-008     0.00231369554       0.00434978576       1.63417038e-007     0.00201248407       2.60105271e-006     3.07601375e-007     6.89369828e-012     8.8603382e-012      4.60684166e-005     1.09008026e-005     0                   0                   
180000              15.4736842          1368                30000               0.77499896          483.752438          112500.615          13.7776823          8.65240419e-011     1.18522087          1.86322853          0.212533119         0.0422545626        16.0203725          1.00113624          1.00036801          3.9912258           0                   0                   0.991217884         9.40757964e-005     0.00417844824       2.98938511e-008     2.16352247e-008     0.00121544185       0.00223366068       8.75291713e-008     0.00104783807       6.18195176e-007     9.9708207e-008      1.60396487e-012     4.92525915e-012     7.93312221e-006     3.86097954e-006     0                   0                   0.992617882         8.82894308e-005     0.000525814975      1.8809177e-009      3.65251353e-008     0.00197546431       0.00391146431       1.58783619e-007     0.00196677637       2.00951202e-006     2.49358073e-007     5.11294452e-012     7.69515397e-012     3.86812411e-005     9.41290685e-006     0                   0                   
180000              16.5789474          1368                30000               0.774999166         483.751954          112500.493          13.7777013          8.65245187e-011     1.18522064          1.86322799          0.212532594         0.0422599567        16.0224177          1.00092412          1.00016864          3.9922609           0                   0                   0.992069353         9.30326625e-005     0.00384930943       2.78008625e-008     1.87737306e-008     0.000997291014      0.00196198848       8.45396771e-008     0.00101879023       4.53910112e-007     7.66877437e-008     1.10349892e-012     4.12914282e-012     6.38069575e-006     3.19298045e-006     0                   0                   0.993343745         8.7299313e-005      0.000484334393      1.74900383e-009     3.16902428e-008     0.00162069566       0.00343528828       1.53340906e-007     0.00191200993       1.47529686e-006     1.9176222e-007      3.51716468e-012     6.45048982e-012     3.11077683e-005     7.78335934e-006     0                   0                   
180000              17.6842105          1368                30000               0.774999377         483.751461          112500.368          13.7777206          8.65250046e-011     1.1852204           1.86322744          0.212532059         0.0422654591        16.0245038          1.00070018          0.999952877         3.99334335          0                   0                   0.992977997         9.17681182e-005     0.00349982966       2.55708776e-008     1.57295686e-008     0.000770222996      0.00166837292       8.10402589e-008     0.000984050624      3.10456955e-007     5.45574989e-008     6.76952217e-013     3.27896931e-012     4.80183561e-006     2.46949964e-006     0                   0                   0.994124118         8.61014885e-005     0.000440304222      1.60850191e-009     2.65482106e-008     0.00125152492       0.00292081011       1.46974408e-007     0.0018465721        1.00891461e-006     1.36406479e-007     2.15735821e-012     5.12169367e-012     2.34073131e-005     6.01898482e-006     0                   0                   
180000              18.7894737          1368                30000               0.774999585         483.750973          112500.245          13.7777397          8.65254857e-011     1.18522017          1.86322689          0.212531529         0.0422709274        16.0265771          1.00046703          0.999720232         3.99446686          0                   0                   0.993942843         9.02357954e-005     0.00313079019       2.32126728e-008     1.25245637e-008     0.000535635489      0.00135263979       7.69633194e-008     0.00094261684       1.89211032e-007     3.40214033e-008     3.40007039e-013     2.36657942e-012     3.20706843e-006     1.69621974e-006     0                   0                   0.99496135          8.46528333e-005     0.000393825399      1.4599733e-009      2.11361003e-008     0.000870234266      0.00236775174       1.39562424e-007     0.00176859274       6.14813346e-007     8.50504438e-008     1.08341781e-012     3.69607815e-012     1.56313439e-005     4.13371194e-006     0                   0                   
180000              19.8947368          1368                30000               0.774999779         483.750519          112500.131          13.7777575          8.65259334e-011     1.18521996          1.86322639          0.212531036         0.042276111         16.0285424          1.00022978          0.99947017          3.99562445          0                   0                   0.994962773         8.83820284e-005     0.00274306387       2.0739545e-008      9.19050063e-009     0.000295013184      0.0010147449        7.22428164e-008     0.000893329715      8.85381121e-008     1.58182074e-008     1.08911623e-013     1.37199514e-012     1.60466422e-006     8.82504643e-007     0                   0                   0.995860205         8.29035942e-005     0.00034501059       1.30426468e-009     1.5507728e-008      0.00047924215       0.00177605999       1.30986377e-007     0.00167591185       2.87656264e-007     3.95392451e-008     3.46999651e-013     2.14249285e-012     7.82022064e-006     2.15041282e-006     0                   0                   
180000              21                  1368                30000               0.774999925         483.750176          112500.044          13.7777709          8.65262708e-011     1.18521979          1.863226            0.212530664         0.0422804807        16.0301991          1                   0.999202106         3.99680842          0                   0                   0.996036513         8.61609684e-005     0.00233761505       1.81734856e-008     5.77241226e-009     4.9920851e-005      0.000654809929      6.68359051e-008     0.000834844458      1.94608481e-009     6.62886724e-010     7.60253797e-015     6.61730834e-014     1.52811234e-011     4.20842875e-008     0                   0                   0.99683188          8.08118555e-005     0.000293984621      1.14277269e-009     9.73915903e-009     8.10868959e-005     0.00114596439       1.21170362e-007     0.00156602998       6.32208678e-009     1.65678266e-009     2.42196866e-014     1.03324495e-013     7.44638067e-011     1.02536841e-007     0                   0                   
